x,density,velocity,total_energy,pressure,speed_of_sound,mach
5.600000000000001,0.1944025015944126,181.27562838042564,267224.2261448163,19501.97679683721,374.75929298227686,0.48371216344726786
6.0,0.16586069116622684,114.94799407490508,237397.55254229732,15311.664024461183,359.5037939270878,0.3197406981975219
6.400000000000002,0.14382963215179873,54.97019670435406,215228.75488505504,12295.586409575157,345.95089308806604,0.15889595258353828
6.800000000000001,0.131833491082319,19.966584453650313,204820.22571584574,10790.35469373285,338.5080506315102,0.05898407561179496
7.199999999999999,0.12707904882179002,6.031387982898077,201346.6470303278,10233.85158802496,335.77363892584464,0.017962660803846203
7.600000000000001,0.1255666975346543,1.6393289669534876,200353.99872545982,10063.048493552253,334.95893302673414,0.004894119264532789
8.0,0.12514309465050755,0.41411890519584615,200088.18265114925,10015.857459714643,334.73770965666927,0.0012371444663960803
8.400000000000002,0.125033765904402,0.09789132809992292,200020.68638948098,10003.735631591548,334.68131363276007,0.00029249116730591465
8.8,0.1250074371607339,0.02160981200493512,200004.53948298283,10000.821948836903,334.6678084006809,6.457093112183286e-05
9.200000000000003,0.12500152215799537,0.004438256653437759,200000.9256536305,10000.16805539229,334.66478506188486,1.3261797630178075e-05
9.600000000000001,0.12500028880211556,0.0008732994064275555,200000.17368294107,10000.031788317294,334.6641559268537,2.609479954639747e-06
10.0,0.12500028880211556,0.0008732994064275555,200000.17368294107,10000.031788317294,334.6641559268537,2.609479954639747e-06
